TradeID,SignalDate,Hisse,AdaptiveScore,SignalClose,Status,EntryDate,EntryRaw,EntryExec,Qty,EntryCost,TPRaw,SLRaw,BarsHeld,ExitDate,ExitRaw,ExitExec,ExitReason,ExitProceeds,RealizedPnL,NetReturn
P20260807_IEYHO,2026-08-07,IEYHO,0.7501997351646423,174.1999969482422,OPEN,2026-08-10,175.0,175.08749999999998,107,18753.096862499995,183.75,166.25,1,,,,,0.0,0.0,
P20260810_PASEU,2026-08-10,PASEU,0.5555233955383301,162.6999969482422,PENDING,,,,0,0.0,,,0,,,,,0.0,0.0,
