SignalDate,Hisse,SignalClose,AdaptiveScore,CreatedAt,StrategyVersion
2026-08-07,IEYHO,174.1999969482422,0.7501997351646423,2026-08-09 20:21:35.833995,v3.5
2026-08-10,PASEU,162.6999969482422,0.5555233955383301,2026-08-10 10:28:52.005334,v3.5.1
